cell_id,comp_1,comp_2,comp_3
cell_1,-0.7285602818038167,0.1392070076480134,0.4275931407778523
cell_2,0.10144831291964243,0.16745189306857491,-0.1287153322554281
cell_3,0.08966617744060257,-0.37226204647084665,0.08809585131983988
cell_4,0.18138605510491004,0.2290955983351303,-0.32992453272330285
cell_5,0.3783093302903373,-0.22781316770098142,0.3966353381822685
cell_6,0.2985444366945206,-0.3571815761685565,0.05576646753218868
cell_7,0.23215413179447358,0.3603631267444501,-0.1359366098254333
cell_8,-0.11843204475418141,0.09351665882049316,-0.368968795511875
cell_9,-0.28982208311616614,-0.3012389063308154,-0.5896612941783859
cell_10,-0.18385312387529087,-0.5938754946086446,-0.14573512510450115
